NumOfVertices,NumOfEdge,Source,Mtx+Arr runtime(ms),List+Heap runtime(ms)
290,41905,159,924,2762
290,41905,159,793,2894
290,41905,159,504,1641
290,41905,159,517,3042
290,41905,159,511,1641
290,41905,159,642,4000
290,41905,159,838,2569
290,41905,159,499,1197
290,41905,159,881,4201
290,41905,159,820,3098
290,41905,159,818,6803
290,41905,159,614,4446
290,41905,159,1489,1609
290,41905,159,623,1766
290,41905,159,511,2351
290,41905,159,627,2302
290,41905,159,865,3457
290,41905,159,900,4737
290,41905,159,762,3741
310,47895,179,1140,5362
310,47895,179,1551,4995
310,47895,179,792,2208
310,47895,179,585,1497
310,47895,179,578,1531
310,47895,179,714,1612
310,47895,179,586,1618
310,47895,179,585,1456
310,47895,179,736,1626
310,47895,179,586,1460
310,47895,179,633,1580
310,47895,179,571,1391
310,47895,179,587,1610
310,47895,179,604,4046
310,47895,179,628,3755
310,47895,182,926,4921
310,47895,182,1023,2599
310,47895,182,683,3238
310,47895,182,584,2805
310,47895,182,588,1404
330,54285,32,648,1772
330,54285,32,649,1721
330,54285,32,647,1745
330,54285,32,650,1695
330,54285,32,641,1788
330,54285,32,650,1855
330,54285,32,985,6840
330,54285,32,650,2923
330,54285,32,655,1710
330,54285,32,671,1755
330,54285,32,648,1679
330,54285,32,666,1711
330,54285,32,654,1744
330,54285,32,645,1750
330,54285,32,650,1757
330,54285,32,642,1738
330,54285,32,648,1821
330,54285,32,647,2059
330,54285,32,676,1968
330,54285,32,1004,5716
350,61075,2,739,2067
350,61075,2,712,2016
350,61075,2,707,2032
350,61075,2,756,2975
350,61075,2,720,3544
350,61075,2,1553,2161
350,61075,2,832,2071
350,61075,2,746,2191
350,61075,2,711,2070
350,61075,2,709,2115
350,61075,2,738,2088
350,61075,2,1054,6234
350,61075,2,735,2164
350,61075,2,726,2054
350,61075,2,729,2623
350,61075,2,705,3904
350,61075,2,1209,2177
350,61075,2,751,2166
350,61075,2,729,2053
350,61075,2,736,1955
370,68265,92,825,2336
370,68265,92,832,6167
370,68265,92,1442,2611
370,68265,92,833,3272
370,68265,92,818,2437
370,68265,92,820,2493
370,68265,92,1289,2516
370,68265,92,819,2441
370,68265,92,817,2301
370,68265,92,879,3219
370,68265,92,838,3426
370,68265,96,1428,6037
370,68265,96,833,2430
370,68265,96,835,2280
370,68265,96,1608,8860
370,68265,96,867,2373
370,68265,96,1032,5242
370,68265,96,836,2401
370,68265,96,881,4576
370,68265,96,1268,8163
390,75855,306,1064,4635
390,75855,306,931,2844
390,75855,306,1585,3434
390,75855,306,938,2853
390,75855,306,936,4270
390,75855,306,921,2785
390,75855,306,911,2784
390,75855,306,1634,5773
390,75855,306,944,2766
390,75855,306,908,4916
390,75855,306,913,4239
390,75855,306,926,4835
390,75855,306,909,2899
390,75855,306,917,3870
390,75855,306,917,2882
390,75855,306,909,2882
390,75855,306,914,9177
390,75855,306,923,4930
390,75855,306,914,2928
390,75855,306,916,2864
410,83845,226,1046,4364
410,83845,226,1063,3392
410,83845,226,1031,4984
410,83845,226,1008,3346
410,83845,226,1008,4406
410,83845,226,1033,3387
410,83845,226,1002,5592
410,83845,226,975,3229
410,83845,226,2699,7742
410,83845,226,1054,3430
410,83845,229,1033,3281
410,83845,229,1007,3153
410,83845,229,1526,7839
410,83845,229,980,3438
410,83845,229,1031,3895
410,83845,229,1026,3319
410,83845,229,1007,3900
410,83845,229,1009,5406
410,83845,229,999,6681
410,83845,229,1527,11179
430,92235,229,1365,5454
430,92235,229,1127,5254
430,92235,229,1121,3813
430,92235,229,1150,4892
430,92235,229,1959,4041
430,92235,229,1193,4003
430,92235,229,1942,11570
430,92235,229,1573,6552
430,92235,229,1103,5979
430,92235,229,1109,3898
430,92235,229,1114,3851
430,92235,229,1631,4962
430,92235,229,1108,6283
430,92235,229,1120,4081
430,92235,229,1114,3843
430,92235,229,1473,4925
430,92235,229,1113,3873
430,92235,229,1903,3933
430,92235,229,1103,3924
430,92235,229,1133,3875
450,101025,309,2549,10598
450,101025,309,1227,8298
450,101025,309,1251,5648
450,101025,312,1867,4606
450,101025,312,1182,5541
450,101025,312,1183,6162
450,101025,312,1174,8432
450,101025,312,1188,4363
450,101025,312,1170,7927
450,101025,312,1221,4363
450,101025,312,1228,4393
450,101025,312,1242,5656
450,101025,312,1281,9438
450,101025,312,1198,5433
450,101025,312,1179,5935
450,101025,312,1190,6083
450,101025,312,1158,6263
450,101025,312,1178,5647
450,101025,312,1182,4567
450,101025,312,1372,4651
470,110215,2,1327,6334
470,110215,2,1355,7074
470,110215,2,1317,6871
470,110215,2,1340,5904
470,110215,2,1518,8578
470,110215,2,1306,6826
470,110215,2,2273,6102
470,110215,2,1346,5539
470,110215,2,1336,6015
470,110215,2,1330,6103
470,110215,2,2420,10290
470,110215,2,1312,5028
470,110215,2,1319,5249
470,110215,5,1293,5232
470,110215,5,1316,5230
470,110215,5,1298,5256
470,110215,5,2322,9118
470,110215,5,1312,6865
470,110215,5,2060,5225
470,110215,5,1341,5556
490,119805,225,1423,5781
490,119805,225,1411,7706
490,119805,225,2079,7429
490,119805,225,1899,5780
490,119805,225,1401,7174
490,119805,225,1764,6790
490,119805,225,1475,7150
490,119805,225,2518,7039
490,119805,225,1461,5812
490,119805,225,1410,6968
490,119805,225,1398,7789
490,119805,225,1412,5931
490,119805,225,1999,11433
490,119805,225,1405,7277
490,119805,225,1410,7936
490,119805,225,2397,5923
490,119805,225,1423,5848
490,119805,225,1442,10331
490,119805,225,2060,6254
490,119805,229,1421,6494
510,129795,19,1626,8227
510,129795,19,1578,6844
510,129795,19,3246,17526
510,129795,19,1564,7808
510,129795,19,1590,7580
510,129795,19,2354,9275
510,129795,19,3850,15935
510,129795,19,1632,6564
510,129795,19,1553,8475
510,129795,19,1606,7015
510,129795,19,1605,9943
510,129795,19,1578,8339
510,129795,19,1926,6691
510,129795,19,1558,7682
510,129795,19,1642,6997
510,129795,19,2763,15478
510,129795,19,1619,6958
510,129795,19,1571,8708
510,129795,19,1631,6683
510,129795,19,1571,7854
530,140185,379,2234,9535
530,140185,382,2418,8603
530,140185,382,1635,8984
530,140185,382,1679,7826
530,140185,382,2151,16381
530,140185,382,1668,9380
530,140185,382,1816,9126
